tstamp,windspeed-2,windspeed-1,windspeed-0,temperature-2,temperature-1,temperature-0,solarflux,humidity-2,humidity-1,humidity-0,clearingprice
965284200,6.23546,5.9908,5.81603,69.1045,69.5714,69.982,47.6505,0.605,0.59875,0.59,0.12
965285100,5.9908,5.81603,5.71118,69.5714,69.982,70.3532,50.0856,0.59875,0.59,0.5675,0.12
965286000,5.81603,5.71118,5.67623,69.982,70.3532,70.657,51.0918,0.59,0.5675,0.55,0.12
965286900,5.71118,5.67623,5.71118,70.3532,70.657,70.8932,50.6691,0.5675,0.55,0.5375,0.12
965287800,5.67623,5.71118,5.81603,70.657,70.8932,71.062,48.8174,0.55,0.5375,0.53,0.12
965288700,5.71118,5.81603,5.9908,70.8932,71.062,70.8764,39.5704,0.5375,0.53,0.54156,0.12
965289600,5.81603,5.9908,6.23546,71.062,70.8764,70.8145,32.8721,0.53,0.54156,0.54875,0.14
965290500,5.9908,6.23546,6.55003,70.8764,70.8145,70.8764,28.7225,0.54156,0.54875,0.55156,0.14
965291400,6.23546,6.55003,6.9345,70.8145,70.8764,71.062,27.1216,0.54875,0.55156,0.55,0.14
965292300,6.55003,6.9345,7.80831,70.8764,71.062,71.9282,36.218,0.55156,0.55,0.53,0.14
965293200,6.9345,7.80831,8.4724,71.062,71.9282,72.547,42.4307,0.55,0.53,0.515,0.14
965294100,7.80831,8.4724,8.92677,71.9282,72.547,72.9182,45.7598,0.53,0.515,0.505,0.14
